latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full_reference,the_geom,created_at,updated_at,cartodb_id
51.429336,0.32463195,Southfleet,Kent,Mixed Cemetery,1,0,5th to 6th c,Jessup 1928,Unknown Location,,,0101000020E610000036261F16C5C6D43F6B7F677BF4B64940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,209
51.310107,1.153782,Westbere,Kent,Mixed Cemetery,2,2,6th to 7th c,Jessup 1946,Unknown Location,,,0101000020E6100000626A4B1DE475F23F5EA10F96B1A74940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,249
52.619737,1.4407375,Brundall II,Norfolk,Mixed Cemetery,4,1,Unknown,"Johnson 1926; Clarke 1941",Unknown Location,,,0101000020E6100000CCEEC9C3420DF73F828FC18A534F4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,48
51.499551,0.41033377,Mucking II,Essex,Majority Cremation Cemetery,468,282,Early 5th to Late 7th c,"Jones 1974; Hamerow 1993; Hirst and Clark 2009",Museum of London,,,0101000020E61000006B0AA692E842DA3F90D78349F1BF4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,157
52.736754,0.93581823,Spong Hill,Norfolk,Majority Cremation Cemetery,2484,57,Early 5th to 7th c,"Jones 1974; Hills 1977; Hills and Penn 1980; Healy 1988; Hills et al 1984; 1987; 1993; McKinley 1994; Picket 1995; Hills and Lucy 2013",Unknown Location,,,0101000020E61000002A389B1239F2ED3F3D997FF44D5E4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,210
52.819539,-1.0384051,Broughton Lodge,Nottinghamshire,Majority Inhumation Cemetery,1,120,5th to 6th c,Kinsley 1993,Unknown Location,,,0101000020E610000067FE87AA4E9DF0BFF56569A7E6684A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,46
52.057301,1.1288481,Hadleigh Road,Suffolk,Majority Inhumation Cemetery,12,150,6th to 7th c,"Layard 1907a; 1907b",Unknown Location,,,0101000020E6100000846D7A06C30FF23F9983A0A355074A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,110
53.628218,-0.63300566,Sheffield's Hill I,Lincolnshire,Majority Inhumation Cemetery,2,43,6th c,Leahy and Williams 2001,Unknown Location,,,0101000020E6100000AE40FC159541E4BF17618A7269D04A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,195
52.370148,-1.4902962,Baginton,Warwickshire,Mixed Cemetery,40,20,5th to 6th c,Leeds 1935,Unknown Location,,,0101000020E610000032A605D440D8F7BF04577902612F4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,14
52.547724,-0.42200234,Nassington,Northamptonshire,Majority Inhumation Cemetery,3,65,Mid-5th to Late 6th c,Leeds and Atkinson 1944,Unknown Location,,,0101000020E610000095AB481A1602DBBFFE9DEDD11B464A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,161
51.663361,-1.2944025,Abingdon I,Berkshire,Mixed Cemetery,82,119,Early 5th to Late 6th c,Leeds and Harden 1936,Ashmolean Museum,,,0101000020E61000002EC55565DFB5F4BF8F386403E9D44940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,1
52.317876,0.36652284,Soham C,Cambridgeshire,Majority Inhumation Cemetery,2,24,Mid-6th to Early 7th c,Lethbridge 1931-2,Unknown Location,,,0101000020E6100000E05EC2361C75D73F76172829B0284A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,203
52.098336,0.28187707,Linton A,Cambridgeshire,Mixed Cemetery,2,3,5th to 6th c,Lethbridge 1938,Unknown Location,,,0101000020E61000007D1B491F460AD23F7E022846960C4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,142
51.233373,-0.58053566,Guildown,Surrey,Majority Inhumation Cemetery,3,36,6th c,"Lowther 1931; Whimster 1931",Unknown Location,,,0101000020E6100000AA933B85BF93E2BF7C629D2ADF9D4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,109
51.756094,-0.9495956,Tythrop House,Oxfordshire,Mixed Cemetery,2,10,6th c,"Lupton 1860; Head 1946",Unknown Location,,,0101000020E6100000AD9DCD4F1663EEBFD5592DB0C7E04940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,238
50.786444,0.078355088,Bishopstone,Sussex,Majority Inhumation Cemetery,6,112,5th to 6th c,Meaney 1964,Unknown Location,,,0101000020E610000067696F3C140FB43F56116E32AA644940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,25
51.944168,-0.54220574,Hick's Field,Bedfordshire,Mixed Cemetery,2,2,5th to 7th c,"Morris 1962; Kennet 1969",Unknown Location,,,0101000020E6100000801C20DABF59E1BF01F73C7FDAF84940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,118
54.002385,-0.43158121,Driffield III,Yorkshire,Mixed Cemetery,1,2,5th to 6th c,Mortimer 1905,Unknown Location,,,0101000020E6100000AF28A1CB069FDBBF1F80D4264E004B40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,81
53.014778,-0.60178713,Caythorpe,Lincolnshire,Mixed Cemetery,1,3,5th to 6th c,Myres 1937,Unknown Location,,,0101000020E6100000501E5015D741E3BFA359D93EE4814A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,58
52.580647,1.2974103,Caistor-by-Norwich,Norfolk,Majority Cremation Cemetery,379,60,Late 4th to Early 7th c,"Myres and Green 1973; Hines 1990b; Wilson 1992",Unknown Location,,,0101000020E610000093E57F4D31C2F43FA0C211A4524A4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,53
52.195469,0.28099644,Little Wilbraham,Cambridgeshire,Mixed Cemetery,135,193,Mid-5th to 6th c,"Neville 1852; Lethbridge and Carter 1928",Unknown Location,,,0101000020E610000050EA057ED8FBD13FE030D12005194A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,143
52.064754,1.1191546,Boss Hall,Suffolk,Majority Inhumation Cemetery,5,22,6th to Early 7th c,Newman 1993,Unknown Location,,,0101000020E6100000F9AF62A70EE8F13F8124ECDB49084A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,30
51.368612,-0.097962951,Croydon,Surrey,Majority Inhumation Cemetery,5,41,5th to 6th c,"Nielsen 1992; O'Sullivan 1996",Unknown Location,,,0101000020E610000023C0C3961914B9BFE27492AD2EAF4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,74
51.842508,-1.8504463,Burn Ground,Gloucestershire,Majority Inhumation Cemetery,4,10,5th to 6th c,"O'Neil and Grinsell 1960; Bishop and Bishop 1984",Unknown Location,,,0101000020E6100000391158946D9BFDBF274F594DD7EB4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,50
51.596616,-1.1294113,Wallingford,Berkshire,Mixed Cemetery,6,31,6th to 7th c,"Peake 1913; Leeds 1938",Unknown Location,,,0101000020E6100000BBB953951112F2BF9A22C0E95DCC4940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,240
52.454274,0.044140397,Chatteris,Cambridgeshire,Majority Inhumation Cemetery,1,2,5th to 6th c,Peckover 1879,Unknown Location,,,0101000020E6100000384C18F39199A63F28B682A6253A4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,60
51.439974,0.33236713,Northfleet,Kent,Mixed Cemetery,15,20,Late 5th to 6th c,"Philip 1914; Burchell and Brailsford 1948",Unknown Location,,,0101000020E6100000656267C88045D53F8F8B6A1151B84940,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,166
52.861755,-1.4593072,Swarkeston,Derbyshire,Mixed Cemetery,2,2,5th to 6th c,Posnansky 1955,Unknown Location,,,0101000020E6100000CA13AD815259F7BF0E15E3FC4D6E4A40,2014-03-10 18:11:15.759+00,2014-03-10 18:11:15.805+00,227
